Red Flag / Trigger,Response Action
Booking growth <30% QoQ,Review marketing effectiveness; increase spend or change channels
Partner monthly churn >15%,Investigate partner earnings; conduct partner satisfaction survey
CAC >₹250,Evaluate acquisition channels; increase referral/organic focus
App rating falls below 4.3,Escalate support issues; implement product improvements
Platform uptime <99%,Emergency infrastructure audit; hire DevOps support
Partner retention <85%,Raise partner commissions by 1-2%; improve support SLA
NPS drops below 40,Conduct customer research; fix product issues
Repeat booking rate <40%,Enhance loyalty program; personalize recommendations
Commission margin <12%,Reduce operating costs; audit discretionary spending
Cost per booking >₹100,Optimize dispatch algorithm; reduce empty rides
